sample-1,,sample -2,,sample-3,,sample-4,
var,logFC,var,logFC,var,logFC,var,logFC
hsa-miR-642b-5p,-0.007538992,hsa-miR-5195-3p,0.00889303,hsa-miR-4485-5p,0.099197864,hsa-miR-574-3p,-0.054076428
hsa-miR-34a-5p,-0.011228801,hsa-miR-557,0.007623271,hsa-miR-6819-3p,0.039522435,hsa-miR-1182,0.009189088
hsa-miR-3591-3p,-0.020837023,hsa-miR-4689,0.007889047,hsa-miR-3173-5p,0.011327024,hsa-miR-4290,-0.017195561
hsa-miR-520a-3p,-0.007377784,hsa-miR-301a-3p,-0.009273937,hsa-miR-1304-3p,0.032552509,hsa-miR-197-5p,0.057938748
hsa-miR-4418,-0.007185278,hsa-miR-1260b,0.018544509,hsa-miR-4716-5p,0.017498085,hsa-miR-4721,0.030348643
hsa-miR-6886-3p,-0.014790942,hsa-miR-4659a-3p,0.013532978,hsa-miR-6793-5p,0.012241884,hsa-miR-4776-3p,0.008355186
hsa-miR-648,-0.007935154,hsa-miR-7150,0.020125022,hsa-miR-197-3p,0.076956812,hsa-miR-5708,-0.007980604
hsa-miR-4732-5p,-0.039667625,hsa-miR-4430,-0.019770738,hsa-miR-1260b,0.030658912,hsa-miR-7846-3p,-0.009041383
hsa-miR-32-3p,-0.020506459,hsa-miR-4466,0.027357902,hsa-miR-4508,-0.012691658,hsa-miR-1273e,-0.053852198
hsa-miR-324-3p,-0.079787728,hsa-miR-4746-3p,0.016661595,hsa-miR-2278,0.015645594,hsa-miR-1827,-0.032009895
hsa-miR-921,0.015138272,hsa-miR-6809-5p,0.0077941,hsa-miR-6893-3p,-0.010333463,hsa-miR-3121-5p,-0.007849171
hsa-miR-6165,-0.023550711,hsa-miR-1224-3p,0.006485327,hsa-miR-1825,0.032532522,hsa-miR-1295a,-0.007934839
hsa-miR-3156-5p,0.023187728,hsa-miR-1471,0.007216518,hsa-miR-4310,0.026635001,hsa-miR-8078,0.008673939
hsa-miR-1343-3p,-0.008147385,hsa-miR-6800-5p,0.040505174,hsa-miR-6508-5p,0.030387797,hsa-miR-1306-3p,0.007807118
hsa-miR-6514-3p,-0.024538099,hsa-miR-3124-5p,0.006228116,hsa-miR-5580-3p,0.011428116,hsa-miR-211-3p,-0.011200111
hsa-miR-1273d,-0.009109333,hsa-miR-4632-5p,-0.009059075,hsa-miR-5701,0.014902644,hsa-miR-1469,0.009740297
hsa-miR-4659a-3p,-0.013849918,hsa-miR-3714,-0.006882665,hsa-miR-1914-5p,-0.009802675,hsa-miR-518a-5p,0.008968596
hsa-miR-520f-3p,-0.00736577,hsa-miR-6795-5p,0.006758628,hsa-miR-6785-5p,0.107904594,hsa-let-7i-5p,-0.123563084
hsa-miR-6879-3p,-0.007609371,hsa-miR-451a,-0.085864296,hsa-miR-6507-3p,0.020418361,hsa-miR-6785-5p,0.084665004
hsa-miR-5787,-0.0396612,hsa-miR-1260a,0.022713947,hsa-miR-3158-5p,-0.010591085,hsa-miR-3156-5p,0.024146566
hsa-miR-197-3p,-0.049250753,hsa-miR-3158-3p,0.006651114,hsa-miR-1273g-3p,0.08531924,hsa-miR-4487,0.00979152
hsa-miR-3622b-3p,-0.007369045,hsa-miR-4540,0.006061041,hsa-miR-6862-3p,0.010076442,hsa-miR-6835-3p,-0.007891202
hsa-miR-628-5p,-0.008962208,hsa-miR-4741,0.012277751,hsa-miR-2467-3p,0.010638407,hsa-miR-6165,-0.02559874
hsa-miR-1914-5p,0.006824896,hsa-miR-6850-5p,0.01515494,hsa-miR-6800-3p,0.036582772,hsa-miR-492,-0.007474014
hsa-miR-6090,-0.045540722,hsa-miR-6882-5p,0.005869311,hsa-miR-648,0.010323408,hsa-miR-6500-5p,0.007862675
hsa-miR-640,0.006532325,hsa-miR-6124,0.021462758,hsa-miR-4640-3p,0.017057443,hsa-miR-3135b,-0.052254873
hsa-miR-320b,-0.075009994,hsa-miR-5090,-0.007405009,hsa-miR-6870-3p,0.017553768,hsa-miR-6893-5p,0.025797038
hsa-miR-4314,-0.007826433,hsa-miR-4323,0.008745672,hsa-miR-3144-3p,0.010120703,hsa-miR-4780,-0.007456754
hsa-miR-3200-3p,-0.024126426,hsa-miR-548ap-3p,0.006220889,hsa-miR-6730-3p,0.012282846,hsa-miR-1915-3p,-0.043446852
